Time,Node,AC,Link0_Score,Link1_Score,ChosenLink,Switched,L0_Delay,L1_Delay,L0_Jitter,L1_Jitter,L0_Loss,L1_Loss,L0_Tp,L1_Tp
11.4746,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4746,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4746,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4746,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4747,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4747,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4748,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4748,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4749,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4749,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4749,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.475,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.475,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.475,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4751,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4751,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4752,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4752,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4752,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4753,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4753,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4753,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4754,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4754,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4755,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4755,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4756,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4756,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4756,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4756,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4757,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4757,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4758,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4758,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4759,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4759,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4759,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.476,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.476,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.476,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4761,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4761,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4762,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4762,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4762,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4763,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4763,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4763,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4764,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4764,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4765,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4765,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4766,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
